,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
239,60794,bright spacious garden below,293394,rachel,2,upper west side,40.80021,-73.96071,0,195,4,4,0.04,1,0
241,61167,colorful private one bedroom apt,295760,greta,2,little italy,40.71961,-73.9954,0,135,2,21,0.2,1,0
253,62903,beautiful modern studio apartment heart nyc,306605,daniel,2,chelsea,40.74238,-73.99567,0,205,9,62,0.7,2,76
258,63546,large cozy private bedroom,308652,antonín,1,kensington,40.64106,-73.97426,1,39,1,45,0.46,2,365
260,63588,ll3,295128,carol gloria,0,clason point,40.81309,-73.85514,1,90,2,0,0.0,7,349
261,63610,dominiques ny mini efficiency wifimetroquiet,310670,vie,0,eastchester,40.88057,-73.83572,0,105,2,38,0.5,13,365
264,63719,bedroom1 rent 10min manhan,311286,helene,1,bedford-stuyvesant,40.68503,-73.95385,1,70,3,36,0.41,4,281
265,63913,hosting sunny spacious nyc room,312288,paula,2,inwood,40.86648,-73.9263,1,75,7,0,0.0,2,323
267,64015,prime east village 1 bedroom,146944,david,2,east village,40.72807,-73.98594,0,200,3,0,0.0,1,0
269,64277,bedroom2 rent 10min manh,311286,helene,1,bedford-stuyvesant,40.68317,-73.94701,1,70,4,18,0.22,4,189
270,64314,cozy bedroom lovely garden apt,314256,debbie,1,crown heights,40.6761,-73.9529,1,110,6,50,3.55,1,0
275,65268,share home 75 1 bdrm 2 brooklyn,319092,juhli,1,bedford-stuyvesant,40.68276,-73.95264,1,75,5,64,0.67,1,68
276,65556,room s3rdbedford williamsburg,320422,marlon,1,williamsburg,40.71368,-73.9626,1,60,3,0,0.0,1,0
277,65562,charming east village 2 or 1 br,320450,mary d,2,east village,40.72956,-73.98158,0,129,7,5,0.15,1,231
278,65615,farmhouse apartment williamsburg,320761,valerie,1,williamsburg,40.71069,-73.95175,0,130,10,49,0.48,1,152
280,65813,suite sugar hill harlem private rm hosted apt,321756,eric,2,harlem,40.82888,-73.94307,1,75,3,20,0.26,1,364
281,65834,beautiful 1 bedroom apt park slope,321934,jessica,1,park slope,40.67319,-73.97323,0,175,2,11,0.11,1,246
282,66008,charming carroll gardens apt,322884,melissa,1,carroll gardens,40.67846,-73.99443,0,190,3,51,0.57,1,288
284,66251,east village loft piano patio,324460,samir,2,east village,40.72681,-73.98534,0,212,3,67,1.31,1,51
286,66451,fantastic williamsburg apt,325389,luis fernando,1,williamsburg,40.71031,-73.9583,0,140,2,9,0.11,1,254
289,66974,lovely modern garden apartment,329436,jana,1,gowanus,40.68076,-73.9896,0,190,3,69,0.79,2,258
296,68735,prewar penthouse w private terrace,342054,violetta,2,upper west side,40.78971,-73.9729,0,195,11,30,0.32,1,249
298,68900,bright beautiful brooklyn,343250,jason,1,greenpoint,40.73119,-73.95578,1,125,3,6,0.1,1,325
301,69921,brooklyn writers nook,155689,joab,1,bushwick,40.70514,-73.91922,1,70,5,47,0.49,1,203
303,70128,large sunny room east village nyc,354330,eyal,2,east village,40.73198,-73.98881,1,65,3,52,0.63,1,5
305,71010,jazz uptown style sugar hill,361855,kurt,2,washington heights,40.83494,-73.93869,0,250,3,32,0.43,2,276
308,71384,gigantic private brooklyn loft,365153,ben,1,greenpoint,40.72898,-73.95552,0,229,1,50,0.5,1,188
311,72265,private room cozy greenpoint,340692,vanessa,1,greenpoint,40.72646,-73.95341,1,59,3,29,0.36,1,15
312,74073,food music dream apartment williamsburg,211877,daniel,1,williamsburg,40.71015,-73.96101,0,195,4,59,0.6,1,71
313,74240,french garden cottage bedford,389924,patty,1,williamsburg,40.71903,-73.9597,0,169,1,68,0.67,2,215
317,74860,sunlit cozy williamsburggreenpoint brooklyn,394752,allison,1,greenpoint,40.72488,-73.95018,1,55,2,1,0.01,1,0
321,77765,superior box house,417504,the box house hotel,1,greenpoint,40.73749,-73.95292,1,179,3,36,0.36,28,79
322,77936,hells kitchen garden eden,134355,moss owen,2,hell's kitchen,40.76248,-73.9913,1,150,3,36,0.36,1,49
323,78919,historic house boerum hill bk nyc,422561,nancy,1,boerum hill,40.68674,-73.98876,0,135,4,6,0.1,1,0
330,81739,loft w terrace box house hotel,417504,the box house hotel,1,greenpoint,40.73842,-73.95312,1,249,3,2,0.02,28,60
331,82549,columbia castle brooklyn heights,448312,christopher,1,brooklyn heights,40.6926,-73.99832,1,100,3,66,0.68,2,0
334,82928,beautiful 2 bedroom apartment,451545,ruthven,1,bedford-stuyvesant,40.6824,-73.94615,0,185,3,46,1.07,1,248
338,83847,east village designers 1br apt,410094,yvette,2,east village,40.72451,-73.98094,0,225,2,33,0.33,1,0
339,84010,superior box house,417504,the box house hotel,1,greenpoint,40.73813,-73.95394,1,179,3,13,0.14,28,81
340,84059,much room brooklyn,459054,famous,1,crown heights,40.67591,-73.94715,0,150,5,5,0.05,1,0
348,94035,modern safe clean bright room astoria 2,35375,savannah,3,astoria,40.75961,-73.91117,1,80,1,42,1.21,2,365
352,95747,lovely 1br treelined wburg,509341,tessa,1,williamsburg,40.71055,-73.95098,0,140,7,13,0.13,1,0
353,95883,spacious loft clinton hill,509918,eduardo,1,bedford-stuyvesant,40.69465,-73.95458,0,200,5,4,0.07,1,9
354,96471,brooklyn waverly one bedroom,116599,sahr,1,clinton hill,40.68413,-73.96542,1,165,4,11,0.11,3,365
355,98330,lovely apartment heart ny,31374,shon,2,kips bay,40.73877,-73.97707,0,125,4,1,0.01,3,181
360,100184,bienvenue,526653,not known,3,queens village,40.72413,-73.76133,1,50,1,43,0.45,1,88
362,101053,colorful artistic williamsburg apt,530032,lee and tara,1,williamsburg,40.71125,-73.95613,1,100,3,31,0.31,1,0
372,107895,riverside charm fire place,3088389,kai,2,upper west side,40.77944,-73.98567,0,120,5,49,0.56,1,201
374,112100,sunny 3br apt ideal family,572527,marine,1,crown heights,40.67539,-73.96093,0,165,7,3,0.03,1,157
375,112304,cozy private room west harlem,573316,kelli,2,harlem,40.8054,-73.95189,1,90,1,1,0.02,1,0
376,112359,ues quiet spacious 1 bdrm 4,571952,olivia,2,upper east side,40.78491,-73.9508,0,225,2,56,0.57,1,312
381,114229,lower east side 2 bedroom apt,314941,tony,2,lower east side,40.71895,-73.99434,0,211,1,52,0.6,3,361
382,114969,manhattan studio perfect location,582598,andrey,2,midtown,40.75579,-73.96699,0,145,6,39,0.4,1,0
385,115748,1 bdrm aptweekend sublease,585166,lilly,3,astoria,40.76434,-73.92132,0,110,4,30,0.32,1,363
388,118061,style stuyvesant heights,2248897,roberta,1,bedford-stuyvesant,40.68448,-73.92747,0,110,4,70,0.75,1,283
389,118430,heart meatpacking chelsea,585458,paul,2,chelsea,40.74412,-74.00208,1,290,2,35,0.36,1,20
390,118680,spacious east village apt near,599354,bobby,2,east village,40.73067,-73.98702,1,87,2,0,0.0,1,0
391,120362,williamsburg apartment right subway,138069,itamar,1,williamsburg,40.70665,-73.94061,0,190,4,50,0.51,1,331
392,121687,spacious brooklyn loft 2 bedroom,262812,vikram,1,williamsburg,40.72063,-73.95952,0,200,2,29,0.31,1,36
393,121861,park slope apt spacious 2 bedroom,611716,elizabeth,1,park slope,40.67644,-73.98082,0,165,2,23,0.23,2,7
396,125163,authentic new york city living,622855,rodney,1,bedford-stuyvesant,40.68569,-73.93038,1,99,2,38,0.54,2,307
399,126816,gorgeous upper west side apartment,620288,eric,2,upper west side,40.79918,-73.96607,1,85,1,3,0.03,1,0
403,132516,forest hills apt minutes midtown manhattan,85330,jean,3,forest hills,40.70925,-73.85262,0,97,3,28,1.21,3,209
404,132570,spacious west village 1 broom king,651390,catherine,2,west village,40.73215,-74.00922,0,170,4,24,0.25,1,0
405,132695,perfect williamsburg summer,507186,holly,1,williamsburg,40.71109,-73.94332,0,125,2,15,0.15,1,0
407,134934,prime williamsburg apartment,652842,giovanni,1,williamsburg,40.71823,-73.95849,0,225,10,22,0.38,1,52
410,135706,ground studio west side,665013,jeff,2,chelsea,40.74488,-74.001,0,132,4,10,0.1,1,0
411,136493,stunning arty 3200sf 3flr3br townhome wterrace,663384,irena,1,park slope,40.67632,-73.97616,0,250,7,18,0.21,1,18
412,138216,sunny spacious designers home,674970,michael,1,greenpoint,40.72212,-73.94254,0,141,5,8,0.21,1,9
416,140973,east village kingsized charmer,686147,dave,2,east village,40.72274,-73.97581,0,185,2,69,0.71,1,233
420,141984,charming nolita apartment,630453,vanessa,2,nolita,40.72094,-73.99706,0,175,3,68,0.69,1,277
421,142069,east village studio sunny quiet,277747,josh,2,east village,40.72485,-73.97813,0,150,4,22,0.23,1,0
422,144087,luxury horizon,616825,rinaldo,2,harlem,40.80473,-73.9532,0,259,8,17,0.17,1,343
423,144148,1 bdrm 4 bdrm dupelxroof deck,299755,jonathan,2,east village,40.72217,-73.98419,1,96,1,34,0.58,1,0
424,145064,heart prime williamsburg,404424,oliver,1,williamsburg,40.71943,-73.9565,0,145,7,8,0.08,1,0
425,145188,parisian apartment chelsea,703156,kristin,2,chelsea,40.74249,-74.00329,0,200,4,0,0.0,1,0
426,145994,cozy 2 bedroom private garden,706418,carolyn,2,upper west side,40.79264,-73.97294,0,95,5,2,0.08,1,0
427,146754,threebedroom house quiet neighborhood,709434,meighan,1,windsor terrace,40.65749,-73.97675,0,250,4,52,0.72,1,188
429,148201,nyc sunny greenwich village 1br,715807,john,2,greenwich village,40.72831,-74.00177,0,175,3,18,0.19,1,0
432,149287,apartment park avenue,720320,nancy,2,upper east side,40.78508,-73.95332,0,250,4,0,0.0,1,0
434,150804,lower east side 2 bed apt,726333,peter,2,lower east side,40.72008,-73.98404,0,250,4,19,0.2,1,0
436,151478,big comfy priv room big apt yard great loc,216191,m,1,williamsburg,40.7102,-73.94495,1,98,2,8,0.09,4,0
437,152071,park slope apartment,731855,wendy,1,park slope,40.67359,-73.97904,0,150,2,0,0.0,1,8
438,152078,charming private bedroom east village,731904,ewelina,2,east village,40.72674,-73.9782,1,95,7,25,0.3,1,359
444,154934,harlemhamilton heights cozy room,745069,kimberly,2,harlem,40.82426,-73.9463,1,75,3,38,0.42,3,365
447,158061,hancock town housestuyvesant mews,758441,fred,1,bedford-stuyvesant,40.68669,-73.91989,1,165,1,27,0.28,4,311
449,158290,clinton hill free coffee smile,759583,pepe,1,clinton hill,40.68288,-73.96024,1,75,3,43,0.44,2,365
450,158913,nice cozy neat apt greenpointbk,762563,lennny & megan,1,greenpoint,40.72489,-73.95494,0,130,5,4,0.05,1,0
452,159749,purple room 23 brownstone 1450 per month,54275,jt and tiziana,1,bedford-stuyvesant,40.67963,-73.93908,1,88,1,64,0.68,3,238
453,159815,red room two brownstone 1355mo,54275,jt and tiziana,1,bedford-stuyvesant,40.6798,-73.93908,1,80,1,39,0.41,3,218
454,159913,chelsea living 2br best location,759883,kaye,2,chelsea,40.74346,-73.99882,1,150,2,37,1.79,1,0
455,160609,location location location uws 60s,769247,ligia,2,upper west side,40.77724,-73.98109,0,200,3,10,0.12,1,0
458,161394,surfer room 15mins downtown nyc,772300,alain,1,williamsburg,40.71309,-73.94128,1,90,6,3,0.03,1,0
461,162508,beautiful brooklyn oasis,776645,placid,1,crown heights,40.67212,-73.9506,0,130,2,29,0.35,1,119
463,163809,cool spacious harlem artist flat,781647,jorin,2,harlem,40.80523,-73.95139,0,198,5,42,0.44,2,234
466,164989,soho clean safe private peaceful bedroom a,69439,jade,2,soho,40.72351,-73.99683,1,140,2,54,0.56,1,221
468,165461,closer columbia uni2,867225,rahul,2,morningside heights,40.80525,-73.95916,1,75,5,57,0.59,2,201
472,166541,spacious quiet rm 20mins midtown,793620,yvette,2,washington heights,40.84468,-73.94303,1,75,2,34,0.35,1,222
474,167013,spacious modern studio apartment manhattan,306605,daniel,2,chelsea,40.74342,-73.99483,0,205,9,3,0.04,2,76
475,167017,gorgeous duplex garden,795889,adam,1,park slope,40.67853,-73.98089,0,219,5,2,0.03,1,0
476,167222,cbg 4tiny room w huge windowac,22486,lisel,1,park slope,40.6788,-73.97643,1,60,1,20,0.21,6,258
480,168546,spacious duplex brownstone,803086,benton,2,east harlem,40.80113,-73.94503,0,250,2,11,0.12,2,68
482,169002,modern space charming prewar,805344,alec,2,harlem,40.82411,-73.94934,1,65,2,41,0.43,2,59
486,169483,close downtown awesome private apartment,807642,jeffrey,1,gravesend,40.60452,-73.97103,0,106,7,0,0.0,2,0
487,170420,happy home,812814,lena,2,east harlem,40.7932,-73.94007,0,79,2,15,0.16,1,0
488,170761,fort greene brooklyn front bedroom,67778,doug,1,fort greene,40.68768,-73.97611,1,85,2,35,0.55,2,161
489,171776,gorgeous 1 bdrm huge duplex,803086,benton,2,harlem,40.80224,-73.94558,1,170,2,17,0.18,2,88
490,172700,sunny cozy room lower east side,302772,cheryl,2,lower east side,40.71473,-73.98842,1,115,3,3,0.04,2,337
491,172870,large quiet bedroom near columbia u,781647,jorin,2,harlem,40.80518,-73.95359,1,89,5,43,0.47,2,247
495,174527,cozy private family home bushwick,833926,kris,1,bushwick,40.69055,-73.92357,0,150,2,11,0.46,1,0
497,176135,cosy sunny 1brm prospect heights,842125,jennifer,1,crown heights,40.67505,-73.95969,0,97,3,31,0.32,1,193
498,176653,east village bedroom w rooftop,844862,cj,2,east village,40.72974,-73.98201,1,100,4,49,0.51,2,43
499,176962,williamsburg home away home,846309,dani,1,williamsburg,40.70925,-73.95425,0,179,4,23,0.24,1,25
504,179741,spring mulberry 2 bedroom apartment,314941,tony,2,nolita,40.72133,-73.99666,0,300,1,6,0.06,3,115
515,187986,comfort crossroads downtown,904833,daniel,2,chelsea,40.73862,-73.99758,0,250,1,2,0.02,1,0
517,188661,large sunny garden apartment,909146,mj,1,prospect heights,40.68262,-73.97299,0,170,3,67,0.7,1,129
518,188674,union square e vill 1br beautiful,909234,leslie,2,east village,40.73217,-73.98801,0,165,1,63,0.68,1,0
520,189181,room chic modern high line luxury new,912541,david,2,chelsea,40.74695,-74.00454,1,255,4,1,0.02,1,365
523,190267,large luxury upper east side studio,918866,marina,2,upper east side,40.76684,-73.95944,0,169,7,39,0.41,1,44
524,190542,chateau style brooklyn loft singles couples,920542,farrah,1,bedford-stuyvesant,40.68967,-73.95445,0,160,3,42,0.44,1,355
525,190968,lovely brooklyn brownstone 1br,922922,karen,1,prospect heights,40.67946,-73.96501,0,215,3,33,0.35,1,156
531,193853,quiet chelsea studio wcharm,48599,anastasia,2,chelsea,40.74033,-74.00024,0,149,6,23,0.27,2,0
532,194154,large room overlooking central park,936830,elina,2,upper west side,40.7969,-73.96128,1,89,6,35,0.37,1,180
536,195578,loft style apt williamsburg,304493,erika,1,williamsburg,40.70275,-73.94501,1,85,1,46,0.97,1,59
539,196010,huge bklyn loft w private roofdeck,953565,vanessa,1,park slope,40.67595,-73.98053,0,265,5,15,0.16,1,0
543,199195,modern bedroom hamilton heights,971075,jabari,2,harlem,40.82922,-73.94174,1,75,3,50,0.65,2,38
545,200645,best manhattan studio deal,933378,edo,2,upper east side,40.76739,-73.9557,2,90,1,0,0.0,1,0
549,203901,beautiful ues apartment,1000477,elizabeth,2,upper east side,40.7694,-73.9572,0,190,1,8,0.08,1,0
550,204065,st james pl garden studio 1block pratt gtrain,51038,erica,1,clinton hill,40.68634,-73.96161,0,248,2,58,0.61,6,199
551,204833,great spacious apt williamsburg,903686,melanie,1,williamsburg,40.7093,-73.9497,1,100,6,8,0.09,1,249
555,205735,cozy oasis bushwick ny,1011426,danielle,1,bushwick,40.68364,-73.91076,1,41,2,55,0.59,1,286
558,206316,sunny spacious studio ftgreene,1014639,brett,1,fort greene,40.68765,-73.97073,0,157,2,4,0.18,1,0
561,208148,central bedford avenue apartment,1024355,martina,1,williamsburg,40.71973,-73.95582,0,185,3,14,0.15,1,0
562,208889,welcome brooklyn bedstuy,1029021,jameelah,1,bedford-stuyvesant,40.69025,-73.93323,0,145,3,30,0.32,3,11
565,211974,east village house unique,272730,goldi,2,east village,40.72956,-73.97903,0,250,1,60,0.65,1,0
568,212544,quiet one bedroom park slope,1096084,daniel,1,gowanus,40.67688,-73.9859,0,100,7,9,0.1,1,0
569,213272,creative livein artspacebirdsnest,293130,meli,1,bushwick,40.70051,-73.92204,1,40,1,1,0.37,1,5
571,214917,new clean spacious bed breakfast,1109658,carmel,4,emerson hill,40.60742,-74.14388,1,80,2,2,0.05,1,158
574,215907,2 bed 2 bath apartment central park west,1114587,keenan & emily,2,upper west side,40.79816,-73.9619,0,300,2,45,0.47,3,31
576,218358,upper west side,1129218,orlando,2,harlem,40.8078,-73.95208,1,80,7,19,0.35,1,285
577,219066,wonderful studio brooklyn ny,447754,yana,1,bensonhurst,40.61922,-73.99399,0,110,1,24,0.26,1,183
578,219482,cozy brooklyn hideaway,759583,pepe,1,clinton hill,40.68275,-73.96148,0,172,4,8,0.09,2,189
579,219793,country cottage city,1138692,keera (jena),2,lower east side,40.71813,-73.98416,0,199,1,29,0.31,2,162
580,219818,country cottage city,1138692,keera (jena),2,lower east side,40.71892,-73.98401,0,199,1,14,0.15,2,158
581,219922,lovely bdr harlem manhattan,1139574,carmel,2,harlem,40.816,-73.95545,1,100,1,33,0.38,1,84
583,220563,lovely huge master bed study,918087,kestrel,1,bedford-stuyvesant,40.68634,-73.95088,1,75,3,59,0.62,3,0
